,datetime,ask,bid
970,2023-07-19 15:15:42.665970,1.29518,1.29506
971,2023-07-19 15:15:42.742876,1.29518,1.29506
972,2023-07-19 15:15:42.856591,1.29518,1.29506
973,2023-07-19 15:15:42.934965,1.29518,1.29506
974,2023-07-19 15:15:43.015826,1.29518,1.29506
975,2023-07-19 15:15:43.083989,1.29518,1.29506
976,2023-07-19 15:15:43.163642,1.29518,1.29506
977,2023-07-19 15:15:43.239184,1.29518,1.29506
978,2023-07-19 15:15:43.344731,1.29518,1.29506
979,2023-07-19 15:15:43.494332,1.29518,1.29506
980,2023-07-19 15:15:43.581102,1.29518,1.29506
981,2023-07-19 15:15:43.763611,1.29518,1.29506
982,2023-07-19 15:15:43.845392,1.29518,1.29506
983,2023-07-19 15:15:43.923184,1.29518,1.29506
984,2023-07-19 15:15:44.020188,1.29518,1.29506
985,2023-07-19 15:15:44.151645,1.29518,1.29506
986,2023-07-19 15:15:44.238030,1.29518,1.29506
987,2023-07-19 15:15:44.312038,1.29518,1.29506
988,2023-07-19 15:15:44.486170,1.29518,1.29506
989,2023-07-19 15:15:44.564314,1.29518,1.29506
990,2023-07-19 15:15:44.647595,1.29518,1.29506
991,2023-07-19 15:15:44.734781,1.29518,1.29506
992,2023-07-19 15:15:44.814599,1.29518,1.29506
993,2023-07-19 15:15:44.887611,1.29518,1.29506
994,2023-07-19 15:15:44.945812,1.29518,1.29506
995,2023-07-19 15:15:45.028907,1.29518,1.29506
996,2023-07-19 15:15:45.097392,1.29518,1.29506
997,2023-07-19 15:15:45.163943,1.29518,1.29506
998,2023-07-19 15:15:45.232840,1.29518,1.29506
999,2023-07-19 15:15:45.304719,1.29518,1.29506
1000,2023-07-19 15:15:45.372587,1.29518,1.29506
1001,2023-07-19 15:15:45.434567,1.29518,1.29506
1002,2023-07-19 15:15:45.512673,1.29518,1.29506
1003,2023-07-19 15:15:45.576735,1.29518,1.29506
1004,2023-07-19 15:15:45.643665,1.29518,1.29506
1005,2023-07-19 15:15:45.702194,1.29518,1.29506
1006,2023-07-19 15:15:45.778768,1.29518,1.29506
1007,2023-07-19 15:15:45.841343,1.29518,1.29506
1008,2023-07-19 15:15:45.903772,1.29518,1.29506
1009,2023-07-19 15:15:45.978980,1.29518,1.29506
1010,2023-07-19 15:15:46.043844,1.29518,1.29506
